name,ticker,nomicsid,coingeckoid,statuses,statusreasoning,primarysector,secondarysector,facts_data,opinions,rm_tr,format,coingeckolink,assetdescription,tokendescription,watchlist,messarilink
Nervos Network,CKB,CKB,nervos-network,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/nervos-network,"Nervos Network is a public blockchain and collection of protocols that aim to solve the scaling limitations facing traditional networks like Bitcoin and Ethereum.
Nervos' blockchain is a layer-1 protocol that uses Proof-of-Work (PoW) consensus and supports smart contract development. It also consists of a series of layer-2 scaling solutions to facilitate high-volume use cases. ",Nervos' native token (CKB) allows users and developers to claim storage space on the Nervos blockchain in proportion to their holdings.,FALSE,https://messari.io/asset/nervos-network
Nest Protocol,NEST,NEST,nest,Active,null,Computing,Oracle,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/nest-protocol,NEST Protocol is a distributed oracle network_also a permissionless community of token holders_ data providers_ and validators. As a oracle_ NEST Protocol privide a creative solution to verficate onchain data_ e.g. quotes of digital assets.,NEST is a utility token of the NEST protocol which is only used for incentive purposes. Miners get NEST tokens by paying ETH fees for supplying a price for the contract.,TRUE,https://messari.io/asset/nest-protocol
NeuroChain,NCC,NCC,netcoincapital,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/neurochain,null,null,FALSE,https://messari.io/asset/neurochain-1
Nexo,NEXO,NEXO,nexo,Delisted,- Security Token,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/nexo,null,null,FALSE,https://messari.io/asset/nexo
NKN,NKN,NKN,nkn,Active,null,Computing,Shared Network,Yes,Yes,No,null,https://www.coingecko.com/en/coins/nkn,null,null,FALSE,https://messari.io/asset/nkn
Nucleus Vision,NCASH,NCASH,nucleus-vision,Delisted,"- Only listed on one supported centralised exchange - Huobi
- Liquidity on Huobi is poor.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/nucleus-vision,null,null,FALSE,https://messari.io/asset/nucleus-vision
Nuls,NULS,NULS,nuls,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/nuls,NULS focuses on easy to deploy and adaptable enterprise blockchain solutions. Users can deploy a new chain in only a few steps and utilize cross-chain and high throughput smart contracts.,"NULS holders can primarily use the token to pay transaction and application deployment fees_ as well as participate in community governance. 
The token also serves as a reward for miners who contribute resources to Nuls' Proof of Credit consensus system",FALSE,https://messari.io/asset/nuls
Numeraire,NMR,NMR,numeraire,Active,null,DeFi,Asset Management,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/numeraire,Numerai is building a blockchain based hedge fund using crowdsourced predictions.,Numeraire (NMR) is an Ethereum token that powers Numerai_ a San Francisco-based hedge fund that crowdsources artificial intelligence to make investments in major stock markets around the world. Numeraire (NMR) holders can stake their NMR tokens every week on specific predictions.,FALSE,https://messari.io/asset/numeraire
Ocean Protocol,OCEAN,OCEAN,ocean-protocol,Active,null,Computing,Private Computing,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ocean-protocol,Ocean Protocol is an ecosystem for sharing data and services. It provides a tokenized service layer that exposes data_ storage_ compute and algorithms for consumption with a set of deterministic proofs on availability and integrity that serve as verifiable service agreements.Ocean Protocol helps to unlock data_ particularly for AI. It is designed for scale and uses blockchain technology that allows data to be shared and sold in a safe_ secure and transparent manner.,The OCEAN token (sometimes referred to as OCEAN coin or OCEAN crypto) is designed to be multipurpose_ and is used to validate the best datatokens and to allow users to both participate in governance and buy and sell data.,FALSE,https://messari.io/asset/ocean-protocol
Odyssey,OCN,OCN,odyssey,Delisted,"- Token on Huobi
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/odyssey,null,null,FALSE,https://messari.io/asset/odyssey
OMG Network,OMG,OMG,omega-finance,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/omg-network,OMG Network is a Layer-2 scaling protocol for Ethereum. What this protocol aims to achieve is a higher transaction throughput at a lower cost while leveraging the security guarantees of its underlying layer.,The protocol's token_ OMG_ is an ERC-20 token and the primary method by which users can pay for transaction fees and interact with the network. Developers set a total limited supply of just 140_245 million OMG coins.,FALSE,https://messari.io/asset/omg-network
OneLedger,OLT,OLT,one-ledger,Delisted,"- Token only on Kucoin
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/oneledger,null,null,FALSE,https://messari.io/asset/oneledger
Ontology,ONT,ONT,binance-peg-ontology,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/ontology,Ontology is a high-speed_ low-cost_ public blockchain bringing decentralized identity and data solutions to Web 3.0. Its open-source network provides a platform for smart contract creation and decentralized application deployment. The project is concentrated on facilitating self-sovereign identification (ID) and data management.,Ontology Coin (ONT) is used as the staking tool_ and the time and cost of staking and operating costs of the nodes are considered to be inputs.The max supply of the token is 1_000_000_000,FALSE,https://messari.io/asset/ontology
Ontology Gas,ONG,ONTGAS,ong,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/ontology-gas,Ontology is a high-performance public blockchain that provides a platform for smart contract creation and decentralized application deployment.,"Ontology has a 2 token system_ (ONG & ONT):

ONG is used to pay any transaction fees_ such as when a user transfers ONT to another address_ deploys a contract_ or interacts with an application. Ontology users can earn ONG by staking ONT (locking up the token) on the network.",FALSE,https://messari.io/asset/ontology-gas
Ooki,OOKI,OOKI,ooki,Active,null,DeFi,Lending / Borrowing,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ooki,Ooki defines a protocol for decentralized lending_ trading_ and borrowing. It employs a hybrid order model_ where third-party relayers each maintain their own order book while orders are settled on-chain.,"OOKI is a governance token first and foremost.
Users who stake OOKI tokens are eligible to earn fees generated by the protocol and are able to vote for representatives responsible for approving upgrades to the protocol.",FALSE,https://messari.io/asset/ooki
OpenANX,OAX,OAX,openanx,Delisted,"- Token only on Binance
-  Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/oax,null,null,FALSE,null
Orchid Protocol,OXT,OXT,orchid-protocol,Active,null,Computing,Private Computing,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/orchid-protocol,Orchid aims to serve a privacy-preserving role in Ethereum’s web3 stack. It is an incentivized peer-to-peer privacy network and decentralized VPN application that enables private access to the Internet. ,OXT can be used to pay for bandwidth or staked by bandwidth providers in order to operate a node,FALSE,https://messari.io/asset/orchid
Origin Protocol,OGN,OGN,origin-protocol,Active,null,Culture & Entertainment,Social,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ethereum,Origin is an open-source platform that enables the creation of peer-to-peer marketplaces and e-commerce applications.,"The Origin token is used for governance of the platform to influence the direction of software development and business policies. It is also used to ""boost"" listings to give them higher placement and visibility in search results. Marketplace operators can earn tokens from boosted listings providing an an inventive to feature and promote them.",FALSE,https://messari.io/asset/origin-protocol
Origin Trail,TRAC,TRAC,origintrail,Active,null,Computing,Oracle,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/origintrail,OriginTrail (TRAC) is an Ethereum token that powers OriginTrail_ which describes itself as a “decentralized knowledge graph.” OriginTrail is used to discover_ manage_ and store data for everything from supply chain tracking to verifying art_ diplomas_ and business certifications.,TRAC token is used to pay for data processing and storage on the network. The total supply of this token is 500_000_000 with 368_000_000 in circulation currently.,TRUE,https://messari.io/asset/origintrail
Orion Protocol,ORN,ORN,orion-protocol,Active,null,DeFi,AMM,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/orion-protocol,"Orion Protocol aggregates liquidity from centralised and decentralised exchanges_ streamlining access to the entire crypto market from one decentralised platform. Trades are executed through its decenentralised and distributed modular architecture based on the liquidity aggregator protocol. 

This provides functionalities such as smart routing and price splitting in order to find the most advantageous available price. ",The ORN is the protocols utility token and is embedded in all the main transactions of the protocol with the fees generated shared between network participants.,FALSE,https://messari.io/asset/orion-protocol
Own,CHX,CHX,chainium,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/own,null,null,FALSE,null
PAID Network,PAID,PAID,paid-network,Sell Only,"- Limited access to liquidity
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is very poor.
  ",Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/paid-network,PAID Network is an ecosystem DAPP that leverages blockchain technology to deliver DeFi powered SMART Agreements to make business exponentially more efficient. They allow users to create their own policy_ to ensure they get PAID.,The current $PAID Token is currently for use with the current suite of $PAID products_ a secondary token for Layer - 1 may be released in the future.,FALSE,https://messari.io/asset/paid
Pal Network,PAL,PAL,paladin,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://coinmarketcap.com/currencies/pal-network/,null,null,FALSE,https://messari.io/asset/pal-network
PancakeSwap,CAKE,CAKE,pancakeswap-token,Active,null,DeFi,AMM,Yes,Yes,No,BEP-20,https://www.coingecko.com/en/coins/pancakeswap,PancakeSwap is a decentralized exchange (DEX) built on Binance Smart Chain (BSC) that utilizes an automated market making (AMM) system. PancakeSwap is a fork of SushiSwap and has an almost identical codebase_ but it has the advantage of cheaper and faster transactions from being built on BSC.,CAKE_ a native utility token of PancakeSwap_ is used for a variety of purposes within the growing landscape. Its main functions are yield farming_ staking_ participating in the PancakeSwap Lottery_ and making and voting on governance proposals through the platform's community governance portal.,FALSE,https://messari.io/asset/pancakeswap
PARSIQ,PRQ,PRQ,parsiq,Sell Only,- Although it is listed on two supported centralised exchanges - Kucoin and Coinbase and listed on one supported decentralised exchange (Uniswap). The liquidity on these exchanges is poor.,Computing,Oracle,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/parsiq,PARSIQ is the data and automation platform that connects blockchain activity to real-world applications,"The PRQ token is at the core of the PARSIQ ecosystem_ providing access to all PARSIQ services and tools. 
Users can choose to either hold PRQ to access these services_ or utilize PARSIQ’s IQ Protocol which when paired with our revolutionary tokenomics model creates a truly circular economy.",FALSE,https://messari.io/asset/parsiq
PAX Gold,PAXG,PAXG,pax-gold,Delisted,- Security Token,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/paxos-gold-wormhole,null,null,FALSE,https://messari.io/asset/pax-gold
PAXOS,PAX,PAX,paxos-gold-wormhole,Delisted,Now operates as a company backing stablecoins such as USDP and PAX Gold (PAXG),null,null,Yes,Yes,No,null,null,null,null,FALSE,https://messari.io/asset/paxos-gold-wormhole
PayPie,PPP,PPP,paypie,Delisted,"- Not listed on any supported centralised exchange.
- Not listed on any supported decentralised exchange.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/paypie,null,null,FALSE,https://messari.io/asset/paypie
Peculium,PCL,PCL3,peculium-2,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/peculium,null,null,FALSE,https://messari.io/asset/peculium-1
Peerplays,PPY,PPY,null,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,null,null,null,FALSE,https://messari.io/asset/peerplays-1
PERL.eco,PERL,PERL,perlin,Active,null,Digitization,Digitization,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/perlin,Perlin’s latest project PERL.eco_ the Planetary Ecosystem Registration Ledger will use blockchain technologies for real-world ecological assets through tokenizing carbon credits and biodiversity_ NFTs and decentralised (DeFi) rewards. PERL.eco focuses on tokenization and achieving broader adoption of ecological-related assets like tokenized carbon assets_ genomic biodiversity and more.,PERL allows token holders to play a critical role in determining the incentive system_ building a wide base of stakeholders_ and facilitating economic value flow in the network. PERL holders get to vote on this fee model and distribution_ as well as other important decisions.,FALSE,https://docs.google.com/spreadsheets/d/1OGH1tU2nuo1H9L-RAdj_sXZnBSt-VmtQjffV3BuXgnw/edit#gid=1548807082
PhoenixDAO,PHNX,PHNX,phenix-finance,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/phoenixdao,null,null,FALSE,https://messari.io/asset/phoenixdao
PILLAR,PLR,PLR,pillar,Sell Only,"- Limited access to liquidity
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is very poor.
  ",Computing,IoT,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/pillar,Pillar is community-run smart contract based wallet supporting Ethereum and EVM-compatible chains - Polygon_ xDai & Binance Smart Chain - in a unified multichain experience. Powered by the native Etherspot SDK and governed by the Pillar community DAO through its own native token - PLR.,The PLR token is a meta-token that serves as the primary unit of account powering the platform utility and its ecosystem of users/services. The max supply of this token is 800_000_000.,FALSE,https://messari.io/asset/pillar
PivX,PIVX,PIVX,pivx,Delisted,- Token only on binance and is mainnet if they delist we will have no where to trade the asset,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/pivx,null,null,FALSE,https://messari.io/asset/pivx
Polkadot,DOT,DOT,binance-peg-polkadot,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/polkadot,"Polkadot is a blockchain network designed to support various interconnected_ application-specific sub-chains called parachains (short for parallelized chains).
Each chain built within Polkadot uses Parity Technologies' Substrate modular framework_ which allows developers to select specific components that suit their application-specific chain best. ",Polkadot refers to the entire ecosystem of parachains that plug into a single base platform known as the Relay Chain.,FALSE,https://messari.io/asset/polkadot
Polygon,MATIC,MATIC,matic-network,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/polygon,"Polygon is a platform design to support infrastructure development and help Ethereum scale. 
Polygon rebranded from Matic Network in February 2021 and pivoted towards supporting multiple Layer-2 infrastructure. It will continue to support the Matic POS sidechain and Plasma-based payment system_ which currently hosts over 90 applications.","MATIC is the native cryptocurrency of the Polygon network and is used to help drive development across the network and can be used for staking and paying for transaction fees. 

Users can earn MATIC tokens by providing computational resources and services to the Polygon network.",FALSE,https://messari.io/asset/polygon
Power Ledger,POWR,POWR,power-ledger,Active,null,Currency,Supply Chain / Commerce,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/power-ledger,Power ledger is building a platform where users can contribute or consumer clean energy resources across the network. Pegged to local currencies and convertible to cash_ the platform aims to focus on individuals in high density and urban environments. Unlike centrally managed power systems_ these decentralized energy resources are not powered by one central provider_ potentially creating a more competitive environment and preventing the potential for complete system shut downs.,POWR tokens are used to provide loyalty rewards to the participants in the network. All producers of energy and consumers which purchase renewable energy receive POWR tokens for using the Power Ledger platform as part of the Green Energy Loyalty Rewards program.The max supply is 1_000_000_000.,FALSE,https://messari.io/asset/power-ledger
Project SHIVOM,OMX,OMX,null,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,null,null,null,FALSE,null
Propy,PRO,PRO,prometheus-token,Delisted,"- Token only on Coinbase
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/propy,null,null,FALSE,https://messari.io/asset/propy
Pundi X,PUNDIX,PUNDIX,pundi-x-2,Active,null,Currency,BaaS (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/pundi-x-new,The Pundi X Network is an open-source blockchain-based environment that combines a mobile application and contactless smart card technology to enable crypto-based payments through retail POS devices.,Its native token is PUNDIX (PUNDIX)_ which primarily serves as a means of payment_ however can also be used to earn loyalty rewards. PUNDIX is also required to publish apps on the Pundi X ecosystem.,FALSE,https://messari.io/asset/pundi-x-2
Qash,QASH,QASH,qash,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/qash,null,null,FALSE,https://messari.io/asset/qash
QLC Chain,QLC,QLC,qlink,Sell Only,"- Only listed on one supported centralised exchange - Binance
- Mainnet so if its delisted we would have no where to sell it.
- Liquidity on Binance is solid but BTC pariing.
 ",Computing,IoT,Yes,Yes,No,NEP-5,https://www.coingecko.com/en/coins/qlc-chain,QLC Chain aims to become the next-generation public chain for Network-as-a-Service (NaaS). It describes itself as a multi-dimensional block lattice structured ledger with embedded telecom service capabilities.,"QLC token is a NEP-5 standard token based on the NEO protocol. QLC is the protocol token on the QLC Chain and acts as a payment method for market transactions. 

Transactions using QLC are performed instantly on the blockchain. The platform also allows users to stake QLC and access various benefits_ including issuing tokens for the communication services_ receive Q-Gas and vote for ledger updates_ and more.",TRUE,https://messari.io/asset/qlc-chain
QTUM,QTUM,QTUM,qtum,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/qtum,"Qtum (pronounced Quantum) is a smart contract platform that uses a Proof-of-Stake (PoS)
 consensus mechanism to validate transaction blocks and provide security assurances. It combines different aspects of the Ethereum and Bitcoin blockchains. Qtum uses Bitcoin core as the base of its network for security and stability reasons and_ therefore_ operates via a UTXO model. The project also integrated Ethereum's virtual machine (the EVM) so the chain could run Turing complete code needed to support smart contracts_ and thus decentralized applications (dApps).",Qtum's native token (QTUM) allows users to pay transaction fees_ participate in network security_ and vote on protocol upgrade proposals.,FALSE,https://messari.io/asset/qtum
Quant,QNT,QNT,quant-network,Active,null,Currency,BaaS (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/quant,Quant is a London-based blockchain technology company that aims to achieve universal interoperability between blockchains through its Overledger OS_ a blockchain operating system.The main product_ Overledger_ is an API gateway that abstracts underlying permissioned and permissionless blockchains through a single gateway.,QNT are the native token of the network_ whose main role is to provide digital access to a particular service or an application. QNT has the following use cases: payment for network resources_   and licensing fees.,FALSE,https://messari.io/asset/quant-network
Quantstamp,QSP,QSP,quantstamp,Active,null,Computing,Private Computing,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/quantstamp,Quantstamp is a protocol designed to ameliorate smart contract security concerns on Ethereum by optimizing for scalable_ cost-effective security audits of all smart contracts on Ethereum.,QSP is used for verifying smart contracts on the decentralised QSP Security Protocol. Holders of the coin can purchase automated scans of smart contracts with QSP.,TRUE,https://messari.io/asset/quantstamp
QuarkChain,QKC,QKC,quark-chain,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/quarkchain,QuarkChain focuses on high throughput transactions and Turing complete smart contracts by combining a two-layer blockchain and sharding technology on top of the Ethereum Virtual Machine.,QuarkChain tokens (QKC) are ERC-20 compatible tokens issued on the Ethereum blockchain. The purpose of QKC tokens is to ensure the value exchange within the system and incentivize miners.,TRUE,https://messari.io/asset/quarkchain
Quickswap,QUICK,QUICK3,quick,Delisted,"New token is not yet listed on any exchanges that we support meaning we will not be able to support it for the time being.

Currently on our watchlist for announcements",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/quickswap,null,null,FALSE,https://messari.io/asset/quickswap
RAMP,RAMP,RAMP,ramp,Delisted,Old Token - Now renamed to Lever,null,null,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ramp,RAMP DeFi is a multi-chain DeFi protocol that helps asset owners achieve capital efficiency by offering a powerful and comprehensive solution to multi-task users’ crypto-assets_ maximising the value and returns.,Its native token is ether (ETH)_ which primarily serves as a means of payment for transaction fees and as collateral for borrowing specific ERC-20 tokens within the DeFi sector.,FALSE,https://messari.io/asset/ramp
Rari Governance,RGT,RGT,rari-governance-token,Delisted,"- Centralised exchange support (Coinbase but very low depth)
- Only has liquidity on one supported decentralised exchange - Sushiswap
- Liquidity on Coinbase is very poor.",null,null,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/rari-governance-token,Rari Capital is a DAO that provides lending_ borrowing and yield farming opportunities. It features a permissionless interest rate protocol called Fuse.This protocol allows anyone to create a lending pool of any supported assets using custom parameters.,"The $RGT token is the governance token for Rari Capital. It is an ERC 20 token that gives token holders the power to vote on proposed protocol changes. It is also used to give fee discounts to holders that have staked particular amounts.
The token is also used to buy back $RGT and burn it.",FALSE,https://messari.io/asset/rari-governance-token
RARIBLE,RARI,RARI,rarible,Delisted,"- Only listed on one supported centralised exchange - Coinbase
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Coinbase and Uniswap is poor.
   ",null,null,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/rarible,Rarible represents an NFT platform with a current focus on art and digital collectibles. In July of 2020_ Rarible issued its own governance token –RARI – with the eventual goal that RARI token holders would control the Rarible marketplace.,RARI is the native governance token of Rarible and is designed to reward active platform users – buyers and sellers – with the ability to eventually govern the marketplace.,FALSE,https://messari.io/asset/rarible
Ravencoin,RVN,RVN,ravencoin,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/ravencoin,Ravencoin (RVN) is a blockchain designed to efficiently handle the creation of a token. Tokens issued on this peer-to-peer blockchain network are created for many reasons. The only stipulation is that the purpose of the Ravencoin token is to transfer assets from one person to another.,RVN is a fork of Bitcoin that focuses on the ability to issue new assets.,FALSE,https://messari.io/asset/ravencoin
Raydium,RAY,RAY,raydium,Active,null,DeFi,AMM,Yes,Yes,No,Solana,https://www.coingecko.com/en/coins/raydium,Raydium is an automated market maker (AMM) built on the Solana blockchain that uses the central order book of the Serum decentralized exchange (DEX) to fulfill trades.,The exchange also features a token called RAY that will allow holders to claim 0.03% of trading fees.,FALSE,https://messari.io/asset/raydium
Red Pulse Phoenix,PHX,PHX,phoenix,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/phoenix,null,null,FALSE,https://messari.io/asset/red-pulse-phoenix
RedFOX Labs,RFOX,RFOX,redfox-labs-2,Active,null,Culture & Entertainment,Gaming,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/redfox-labs,RedFOX builds companies that promote access_ adoption and application for the Internet Economy. RedFOX innovates with emerging technologies_ differentiate with superior customer experience and value_ and maintain a relentless focus on digital inclusion.,The token serves as the universal virtual currency within the RFOX ecosystem. RFOX opens up the gaming world by allowing holders to use a token bridge to the WAX Blockchain.,FALSE,https://messari.io/asset/redfox-labs
Reef Finance,REEF,REEF,reef,Active,null,DeFi,Atomic Swaps,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/reef-finance,Reef Finance is a multi-chain smart yield engine & liquidity aggregator for any DeFi protocol to integrate with. It gives retail investors access to the DeFi landscape with a low technical entry barrier.,REEF is the native utility token of Reef Finance with the following use cases: Governance protocol fees_ staking and yield distribution.,FALSE,https://messari.io/asset/reef-finance
Ren,REN,REN,republic-protocol,Active,null,DeFi,Derivatives,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ren,Ren_ formerly known as Republic Protocol_ is an open protocol that enables the permissionless and private transfer of value between any blockchain. Ren's core product RenVM_ brings interoperability to decentralized finance (DeFi).,"Ren (REN) is an Ethereum token that powers Ren's open protocol for transferring cryptocurrencies between blockchains.
 
Ren aims to bring popular assets like Bitcoin and Zcash to blockchains including Ethereum_ making it possible for these assets to participate in a multi-chain decentralized finance ecosystem",FALSE,https://messari.io/asset/ren
Render Token,RNDR,RNDR,render-token,Active,null,Computing,Private Computing,Yes,Yes,No,null,https://www.coingecko.com/en/coins/render-token,null,null,FALSE,https://messari.io/asset/render-token
RentBerry,BERRY,BERRY,berry,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://coinmarketcap.com/currencies/rentberry/,null,null,FALSE,https://messari.io/asset/rentberry-1
Request,REQ,REQ,request-network,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/request-network,Request is a decentralized network that facilitates the creation_ sharing or fulfillment of payment requests. All of the information is stored in a decentralized authentic ledger. The platform allows anyone to write on their Request Ledger and create a payment request.,The REQ token powers the Request Network open-source protocol via a few mechanisms: * anti-spam * governance * staking * discounts * independency,FALSE,https://messari.io/asset/request-network
Reserve Rights Token,RSR,RSR3,reserve-rights-token,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/reserve-rights-token,Reserve is a currency introduced in January 2019 to iterate on the stablecoin projects that preceded it. The team decided that to build a lasting token_ several design choices were necessary: an asset-peg that_ short term_ is set to a fiat currency_ but long-term_ is set to a basket of assets; fully collateralized backing; decentralized issuance mechanism.,"RSR is the utility token of the Reserve
 Protocol. This token is crucial in maintaining the value of RSV at this time. Specifically_ it’s used to guarantee the collateralization rate and peg of the RSV. It also functions as the main governance token for the network. Users need to hold these tokens to gain voting rights.",FALSE,https://messari.io/asset/reserve-rights
Restart Energy,MWAT,MWAT,null,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://coinmarketcap.com/currencies/restart-energy-mwat/,null,null,FALSE,null
Revain,REV,RCHAIN,rchain,Delisted,"- Only listed on one supported centralised exchange - KuCoin
- Liquidity on KuCoin is very poor.",null,null,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/revain,Revain was the first platform to combine the features of traditional review sites and blockchain technology. Revain’s ultimate goal is to create a legitimate and genuine feedback structure for all global products and services that utilize emerging technologies_ such as machine learning and blockchain.,The REV token is based on Ethereum’s ERC-20 standard_ TRC20 and BEP20. REV is a utility token and is used for rewarding authors. As of February 2021_ there are 85_061_485_690 REV in circulation.,FALSE,https://messari.io/asset/revain
REVV,REVV,REVV,revv,Active,null,Culture & Entertainment,Gaming,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/revv,REVV is the main utility token and in-game currency for branded motorsports blockchain game titles produced by Animoca Brands_ including F1® Delta Time_ and two upcoming titles based on MotoGP™ and Formula E.,The REVV token is a fungible ERC-20 token that exists on the Ethereum blockchain. As a fungible token_ REVV tokens are interchangeable with other REVV tokens and maintain the same properties.,FALSE,https://messari.io/asset/revv
Rocket Pool,RPL,RPL,rocket-pool,Active,null,DeFi,Yield,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/rocket-pool,"Rocket Pool is an Ethereum 2.0 staking pool. 

The protocol seeks to lower both the capital and hardware requirements for staking on ETH 2.0_ adding to the decentralization and security of Ethereum. 

To achieve this_ Rocket Pool allows users to stake trustlessly towards a network of node operators.",The other token native to the protocol is RPL_ which is bonded only by node operators wishing to provide additional security guarantees on top of their validation services.,FALSE,https://messari.io/asset/rocket-pool
Rook,ROOK,ROOK2,rook,Active,null,DeFi,Exchanges (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/keeperdao,KeeperDAO is a DAO dedicated to Keepers and the work they do. We are united around a shared mission: to bring about a decentralised economy in which Keepers create more efficient_ secure_ and egalitarian blockchain networks.,ROOK is an ERC20 asset allowing token-holders to propose and vote on all protocol upgrades_ as well as administering the profit share between LPs and keepers_ alongside new system proposals.,FALSE,https://messari.io/asset/keeperdao
Ruff,RUFF,RUFF,ruff,Delisted,"- Token only on Huobi
- Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/ruff,null,null,FALSE,https://messari.io/asset/ruff
SALT,SALT,SALT,salt,Delisted,"- Limited access to liquidity
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is very poor.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/sentinel-protocol,null,null,FALSE,https://messari.io/asset/salt
